pH ,8.9,pH,9.3,pH,8.8
0.02 M KHCO3,,0.1 M KHCO3,,0.5 M KHCO3,
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
0.1411,-0.00896,0.04797,-0.00856,0.2465,-8.39E-04
0.1371,-0.00908,0.04395,-0.00792,0.24251,-8.57E-04
0.1331,-0.00931,0.03994,-0.00778,0.23849,-8.75E-04
0.1291,-0.00935,0.03595,-0.00751,0.23449,-8.92E-04
0.1251,-0.0094,0.03195,-0.00728,0.2305,-9.21E-04
0.12109,-0.00941,0.02795,-0.0071,0.22651,-9.67E-04
0.11709,-0.00935,0.02394,-0.00691,0.22176,-9.21E-04
0.11312,-0.00922,0.01993,-0.00675,0.21624,-0.00104
0.10913,-0.00903,0.01594,-0.0066,0.2115,-0.00102
0.10513,-0.00861,0.01193,-0.00647,0.20749,-0.00103
0.1011,-0.0084,0.00794,-0.00633,0.2035,-0.00105
0.0971,-0.00811,0.00392,-0.00623,0.19949,-0.00106
0.0931,-0.00757,-7.56E-05,-0.0061,0.19548,-0.00108
0.08911,-0.00741,-0.00407,-0.00601,0.19147,-0.0011
0.0851,-0.00696,-0.00805,-0.00592,0.18751,-0.00113
0.08109,-0.00674,-0.01206,-0.00582,0.18352,-0.00115
0.0771,-0.0065,-0.01608,-0.00572,0.17949,-0.00118
0.07312,-0.00608,-0.02008,-0.00564,0.1755,-0.00121
0.06912,-0.00591,-0.02408,-0.00553,0.1715,-0.00125
0.06512,-0.00571,-0.02808,-0.00543,0.16749,-0.00128
0.0611,-0.0055,-0.03207,-0.0053,0.16351,-0.00133
0.05711,-0.0051,-0.0361,-0.00519,0.15949,-0.00137
0.0531,-0.00509,-0.04007,-0.00504,0.15549,-0.00142
0.0491,-0.0049,-0.04406,-0.00493,0.1515,-0.00146
0.04508,-0.00473,-0.04805,-0.00477,0.14752,-0.00152
0.04108,-0.00448,-0.05204,-0.00462,0.14351,-0.00157
0.03709,-0.00428,-0.05606,-0.00448,0.13949,-0.00163
0.03308,-0.0042,-0.06006,-0.00432,0.1355,-0.00169
0.02908,-0.00403,-0.06405,-0.00417,0.1315,-0.00177
0.02507,-0.00386,-0.06805,-0.00401,0.1275,-0.00183
0.02107,-0.00361,-0.07205,-0.00379,0.12275,-0.00195
0.01706,-0.00345,-0.07609,-0.00373,0.11799,-0.00206
0.01307,-0.00337,-0.08007,-0.00358,0.11399,-0.00216
0.00907,-0.00321,-0.08406,-0.00346,0.11003,-0.00226
0.00507,-0.00308,-0.08804,-0.00332,0.10602,-0.00237
0.00105,-0.00295,-0.09204,-0.00319,0.10202,-0.0025
-0.00294,-0.00272,-0.09604,-0.00308,0.098,-0.00262
-0.00692,-0.00278,-0.10004,-0.00297,0.094,-0.00276
-0.01093,-0.00263,-0.10404,-0.00287,0.08999,-0.00291
-0.01494,-0.00255,-0.10804,-0.00278,0.08601,-0.00307
-0.01893,-0.00247,-0.11206,-0.00268,0.082,-0.00325
-0.02293,-0.00242,-0.11606,-0.00259,0.07799,-0.00344
-0.02694,-0.00225,-0.12006,-0.00251,0.074,-0.00363
-0.03094,-0.00236,-0.12402,-0.00245,0.07002,-0.00387
-0.03495,-0.00227,-0.12801,-0.00237,0.06602,-0.00411
-0.03895,-0.00224,-0.13203,-0.00231,0.06201,-0.00437
-0.04292,-0.00221,-0.13605,-0.00226,0.05801,-0.00467
-0.04691,-0.00219,-0.14003,-0.00221,0.054,-0.00508
-0.05091,-0.00216,-0.14403,-0.00215,0.05,-0.00535
-0.05492,-0.00215,-0.14802,-0.00211,0.046,-0.00574
-0.05892,-0.00214,-0.15204,-0.00206,0.04198,-0.00615
-0.06291,-0.00212,-0.15604,-0.00203,0.03798,-0.0066
-0.06691,-0.00211,-0.16003,-0.00199,0.03399,-0.00708
-0.07091,-0.0021,-0.16401,-0.00195,0.02999,-0.00761
-0.07493,-0.00209,-0.168,-0.00192,0.02599,-0.00817
-0.07891,-0.00208,-0.17202,-0.0019,0.02198,-0.00876
-0.0829,-0.00208,-0.17601,-0.00187,0.01797,-0.0094
-0.08688,-0.00207,-0.18001,-0.00184,0.01396,-0.01003
-0.09089,-0.00206,-0.18401,-0.00181,0.00997,-0.01063
-0.09491,-0.00205,-0.18801,-0.00179,0.00597,-0.01118
-0.0989,-0.00205,-0.19203,-0.00173,0.00195,-0.01165
-0.10291,-0.00204,-0.19602,-0.00175,-0.00205,-0.01198
-0.10689,-0.00203,-0.20001,-0.00173,-0.00601,-0.01223
-0.11089,-0.00203,-0.204,-0.00171,-0.01001,-0.01231
-0.11492,-0.00202,-0.208,-0.00169,-0.01402,-0.01212
-0.11891,-0.00201,-0.21202,-0.00168,-0.01804,-0.01156
-0.12288,-0.002,-0.21602,-0.00167,-0.02204,-0.01056
-0.12687,-0.00199,-0.22003,-0.00165,-0.02604,-0.00922
-0.13088,-0.00198,-0.22403,-0.00163,-0.03003,-0.00785
-0.13489,-0.00197,-0.22802,-0.00162,-0.03404,-0.0067
-0.13888,-0.00195,-0.23205,-0.0016,-0.03805,-0.006
-0.14288,-0.00194,-0.23603,-0.00159,-0.04204,-0.00568
-0.14688,-0.00189,-0.24001,-0.00158,-0.04602,-0.00556
-0.1509,-0.00193,-0.244,-0.00157,-0.05001,-0.00548
-0.15492,-0.00191,-0.24799,-0.00155,-0.05403,-0.00542
-0.1589,-0.00189,-0.25202,-0.00155,-0.05803,-0.00538
-0.16288,-0.00188,-0.25601,-0.00153,-0.06202,-0.00533
-0.16687,-0.00187,-0.26001,-0.00153,-0.06602,-0.0053
-0.17088,-0.00185,-0.26401,-0.00152,-0.07001,-0.00524
-0.17489,-0.00184,-0.26802,-0.00151,-0.07404,-0.0052
-0.1789,-0.00182,-0.27203,-0.0015,-0.07804,-0.00514
-0.18289,-0.00181,-0.27602,-0.0015,-0.08204,-0.00506
-0.18689,-0.0018,-0.28001,-0.00149,-0.08601,-0.005
-0.19091,-0.00178,-0.284,-0.00149,-0.09,-0.00491
-0.19491,-0.00176,-0.288,-0.00148,-0.09402,-0.0048
-0.19889,-0.00175,-0.29202,-0.00148,-0.09802,-0.00471
-0.20288,-0.00174,-0.296,-0.00147,-0.10203,-0.00459
-0.20686,-0.00172,-0.30001,-0.00147,-0.10603,-0.00447
-0.21089,-0.0017,-0.30401,-0.00147,-0.11002,-0.00436
-0.21489,-0.00169,-0.30802,-0.00147,-0.11405,-0.0042
-0.21888,-0.00167,-0.31203,-0.00147,-0.11805,-0.00407
-0.22288,-0.00166,-0.31603,-0.00147,-0.12203,-0.00393
-0.22688,-0.00164,-0.32001,-0.00147,-0.12601,-0.0038
-0.2309,-0.00163,-0.32399,-0.00147,-0.13001,-0.00363
-0.23489,-0.00161,-0.32802,-0.00147,-0.13404,-0.0035
-0.23888,-0.0016,-0.33202,-0.00148,-0.13802,-0.00335
-0.24287,-0.00159,-0.33602,-0.00148,-0.14202,-0.0032
-0.24685,-0.00157,-0.34003,-0.00149,-0.14603,-0.00307
-0.25088,-0.00156,-0.34402,-0.00149,-0.15002,-0.00294
-0.25487,-0.00155,-0.34803,-0.0015,-0.15405,-0.00282
-0.25888,-0.00153,-0.35203,-0.0015,-0.15803,-0.00268
-0.26288,-0.00152,-0.35601,-0.00152,-0.16202,-0.00258
-0.26687,-0.00151,-0.36,-0.00152,-0.16601,-0.00247
-0.27088,-0.0015,-0.36399,-0.00153,-0.17001,-0.00237
-0.27488,-0.00149,-0.36801,-0.00154,-0.17402,-0.00228
-0.27887,-0.00148,-0.37201,-0.00156,-0.17802,-0.00219
-0.28286,-0.00146,-0.37601,-0.00156,-0.18202,-0.00211
-0.28686,-0.00145,-0.38002,-0.00158,-0.18601,-0.00204
-0.29088,-0.00144,-0.38401,-0.00159,-0.19001,-0.00197
-0.29486,-0.00139,-0.38804,-0.00161,-0.19403,-0.00191
-0.29887,-0.00143,-0.39203,-0.00162,-0.19802,-0.00185
-0.30287,-0.00141,-0.39601,-0.00164,-0.202,-0.0018
-0.30688,-0.0014,-0.39999,-0.00166,-0.206,-0.00176
-0.3109,-0.00139,-0.404,-0.00168,-0.21,-0.00171
-0.31489,-0.00139,-0.40803,-0.00169,-0.21403,-0.00168
-0.31887,-0.00138,-0.41202,-0.00171,-0.21802,-0.00164
-0.32286,-0.00137,-0.41602,-0.00174,-0.22202,-0.00161
-0.32687,-0.00137,-0.42004,-0.00176,-0.22601,-0.00158
-0.33088,-0.00136,-0.42404,-0.00178,-0.23003,-0.00155
-0.33488,-0.00135,-0.42805,-0.00181,-0.23404,-0.00153
-0.33887,-0.00135,-0.43205,-0.00183,-0.23803,-0.00151
-0.34287,-0.00134,-0.43602,-0.00186,-0.24202,-0.00148
-0.34687,-0.00134,-0.44,-0.00188,-0.246,-0.00146
-0.35088,-0.00138,-0.44401,-0.00191,-0.25002,-0.00145
-0.35487,-0.00134,-0.44803,-0.00197,-0.25403,-0.00143
-0.35885,-0.00133,-0.45201,-0.00199,-0.25803,-0.00142
-0.36284,-0.00132,-0.45602,-0.00202,-0.26203,-0.00141
-0.36686,-0.00132,-0.46002,-0.00206,-0.26602,-0.00139
-0.37087,-0.00131,-0.46404,-0.0021,-0.27006,-0.00138
-0.37487,-0.0013,-0.46804,-0.00215,-0.27404,-0.00137
-0.37886,-0.0013,-0.47049,-0.00217,-0.27804,-0.00136
-0.38286,-0.0013,,,-0.28202,-0.00135
-0.38688,-0.00129,,,-0.28602,-0.00135
-0.39088,-0.00129,,,-0.29004,-0.00133
-0.39487,-0.00129,,,-0.29403,-0.00134
-0.39884,-0.00128,,,-0.29804,-0.00132
-0.40284,-0.00128,,,-0.30204,-0.00132
-0.40687,-0.00128,,,-0.30604,-0.00131
-0.41086,-0.00127,,,-0.31006,-0.00131
-0.41486,-0.00127,,,-0.31406,-0.00131
-0.41887,-0.00127,,,-0.31804,-0.00131
-0.42287,-0.00127,,,-0.32049,-0.0013
-0.4269,-0.00127,,,,
-0.43089,-0.00127,,,,
-0.43486,-0.00127,,,,
-0.43886,-0.00127,,,,
-0.44088,-0.0013,,,,
