pH ,8.9,pH,9.3,pH,8.8
0.02 M KHCO3,,0.1 M KHCO3,,0.5 M KHCO3,
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
-1.06951,-0.04599,-1.0996,-0.10576,-0.9482,-0.12881
-1.07352,-0.04703,-1.10363,-0.10992,-0.95223,-0.1331
-1.07753,-0.04809,-1.10767,-0.11434,-0.95627,-0.13709
-1.08154,-0.04915,-1.11169,-0.11895,-0.96028,-0.14092
-1.08555,-0.05025,-1.11569,-0.12351,-0.9643,-0.14453
-1.08954,-0.05127,-1.11971,-0.12839,-0.96834,-0.14802
-1.09354,-0.05234,-1.12376,-0.13327,-0.97239,-0.15144
-1.09758,-0.05343,-1.12775,-0.13832,-0.97634,-0.15473
-1.10157,-0.05446,-1.13176,-0.14364,-0.98029,-0.15793
-1.10558,-0.05553,-1.13576,-0.14908,-0.98424,-0.16112
-1.10959,-0.05658,-1.13979,-0.1547,-0.98821,-0.16434
-1.11361,-0.05765,-1.1438,-0.16044,-0.99224,-0.16759
-1.11764,-0.05871,-1.14782,-0.16642,-0.99628,-0.17089
-1.12165,-0.05983,-1.15185,-0.17256,-1.00032,-0.17425
-1.12564,-0.06097,-1.15584,-0.17887,-1.00429,-0.17766
-1.12964,-0.06208,-1.15988,-0.18519,-1.00824,-0.18097
-1.13367,-0.0632,-1.16389,-0.19201,-1.0123,-0.18458
-1.13768,-0.06434,-1.16865,-0.20033,-1.01632,-0.18826
-1.1417,-0.06546,-1.17342,-0.2089,-1.02033,-0.19199
-1.14571,-0.06659,-1.17746,-0.21648,-1.02436,-0.19589
-1.14972,-0.06776,-1.18146,-0.22425,-1.02914,-0.2005
-1.15375,-0.06895,-1.18546,-0.23213,-1.03387,-0.20535
-1.15776,-0.0701,-1.18947,-0.24029,-1.03774,-0.20959
-1.16175,-0.07132,-1.1935,-0.2489,-1.04162,-0.21414
-1.16576,-0.07256,-1.19754,-0.25744,-1.0456,-0.21879
-1.1698,-0.07379,-1.20019,-0.26334,-1.04964,-0.2237
-1.1738,-0.07504,-1.2009,-0.26527,-1.05361,-0.2288
-1.1778,-0.07635,-1.20074,-0.26526,-1.05755,-0.23416
-1.18182,-0.07766,-1.19874,-0.25726,-1.06156,-0.2397
-1.18584,-0.07897,-1.1947,-0.24517,-1.06559,-0.24566
-1.18989,-0.08034,-1.19067,-0.23394,-1.06964,-0.25173
-1.19391,-0.08172,-1.18667,-0.22346,-1.07366,-0.25805
-1.19791,-0.08309,-1.18266,-0.21344,-1.07763,-0.26473
-1.20036,-0.08407,-1.17866,-0.20393,-1.0816,-0.27156
-1.20075,-0.08419,-1.17464,-0.19521,-1.08561,-0.27878
-1.19873,-0.08112,-1.17064,-0.18673,-1.08959,-0.28618
-1.19476,-0.07876,-1.16663,-0.17874,-1.0935,-0.29389
-1.19075,-0.07659,-1.16261,-0.17106,-1.09744,-0.302
-1.1867,-0.07456,-1.15858,-0.16372,-1.10145,-0.31056
-1.1827,-0.07267,-1.15457,-0.15683,-1.10548,-0.31956
-1.1787,-0.07079,-1.15053,-0.15017,-1.10948,-0.32892
-1.17469,-0.06906,-1.14651,-0.14383,-1.11346,-0.33867
-1.17066,-0.06734,-1.1425,-0.13779,-1.11748,-0.34896
-1.16664,-0.06566,-1.13846,-0.13195,-1.12146,-0.35962
-1.16262,-0.06404,-1.13444,-0.1265,-1.12545,-0.37097
-1.15864,-0.0625,-1.13046,-0.12124,-1.12948,-0.38266
-1.15462,-0.06098,-1.12645,-0.11608,-1.13344,-0.39536
-1.15059,-0.05949,-1.12242,-0.11133,-1.13732,-0.40803
-1.14658,-0.05813,-1.1184,-0.10662,-1.14129,-0.42166
-1.14258,-0.05674,-1.11439,-0.10219,-1.14533,-0.43593
-1.13857,-0.05543,-1.11038,-0.09796,-1.14931,-0.45147
-1.13454,-0.05417,-1.10638,-0.09391,-1.15323,-0.46697
-1.13051,-0.05295,-1.10159,-0.08935,-1.15721,-0.48368
-1.12651,-0.05176,-1.09685,-0.08486,-1.16119,-0.50144
-1.12251,-0.05052,-1.09286,-0.08127,-1.16513,-0.51979
-1.1185,-0.0493,-1.08887,-0.07794,-1.16911,-0.53912
-1.11448,-0.04812,-1.08485,-0.07471,-1.17307,-0.55995
-1.11046,-0.04696,-1.08083,-0.07164,-1.17704,-0.58162
-1.10643,-0.04582,-1.07682,-0.06872,-1.18109,-0.60475
-1.10244,-0.04469,-1.07283,-0.06593,-1.18496,-0.6281
-1.09842,-0.04357,-1.06884,-0.0633,-1.18878,-0.65252
-1.09438,-0.04245,-1.0648,-0.06063,-1.19275,-0.67935
-1.09039,-0.04137,-1.06078,-0.05817,-1.19672,-0.70675
-1.08639,-0.04031,-1.0568,-0.05561,-1.19976,-0.72973
-1.0824,-0.03926,-1.05281,-0.05328,-1.20085,-0.73817
-1.07837,-0.03828,-1.04882,-0.05109,-1.20088,-0.73866
-1.07436,-0.03726,-1.04478,-0.04904,-1.19879,-0.71798
-1.07035,-0.03628,-1.04076,-0.04689,-1.19479,-0.68058
-1.06635,-0.03531,-1.03675,-0.04494,-1.19079,-0.64583
-1.06234,-0.03436,-1.03275,-0.04305,-1.18679,-0.61397
-1.0583,-0.03343,-1.02872,-0.04132,-1.1828,-0.58381
-1.05431,-0.03255,-1.0247,-0.03961,-1.17879,-0.55548
-1.05033,-0.0317,-1.02069,-0.03793,-1.17479,-0.52928
-1.04632,-0.03082,-1.01669,-0.03634,-1.1708,-0.50431
-1.04229,-0.02997,-1.01269,-0.03476,-1.16682,-0.48085
-1.03826,-0.02913,-1.00866,-0.03333,-1.16282,-0.45899
-1.03425,-0.02829,-1.00465,-0.03191,-1.1588,-0.43838
-1.03025,-0.02751,-1.00063,-0.03057,-1.1548,-0.41881
-1.02625,-0.02673,-0.99661,-0.0293,-1.1508,-0.40034
-1.02223,-0.02594,-0.9926,-0.02809,-1.14681,-0.38308
-1.01824,-0.02519,-0.98858,-0.02681,-1.14279,-0.36647
-1.01425,-0.02447,-0.98457,-0.02561,-1.13879,-0.35107
-1.01026,-0.02371,-0.98057,-0.02453,-1.13481,-0.33648
-1.00627,-0.02301,-0.97656,-0.02343,-1.13084,-0.32262
-1.00225,-0.02235,-0.97257,-0.02237,-1.12684,-0.3094
-0.99824,-0.02165,-0.96854,-0.02135,-1.1228,-0.29708
-0.99425,-0.02102,-0.96453,-0.0204,-1.11882,-0.28527
-0.99024,-0.02042,-0.96051,-0.01952,-1.11481,-0.27414
-0.98621,-0.01983,-0.95651,-0.01868,-1.11081,-0.26372
-0.9822,-0.01928,-0.9525,-0.01784,-1.10681,-0.25371
-0.9782,-0.01875,-0.94847,-0.01706,-1.1028,-0.24427
-0.9742,-0.01819,-0.94447,-0.01622,-1.09881,-0.23525
-0.97019,-0.01763,-0.94048,-0.01543,-1.09482,-0.22678
-0.96616,-0.01713,-0.93649,-0.01467,-1.09083,-0.21858
-0.96214,-0.01666,-0.93248,-0.01394,-1.08682,-0.21094
-0.95813,-0.01622,-0.92844,-0.01322,-1.08281,-0.20369
-0.95411,-0.0158,-0.92443,-0.01261,-1.07882,-0.19674
-0.95011,-0.01537,-0.92043,-0.01202,-1.07481,-0.19013
-0.9461,-0.015,-0.91641,-0.01158,-1.07081,-0.18389
-0.9421,-0.0146,-0.9124,-0.0111,-1.0668,-0.17795
-0.93811,-0.01426,-0.90838,-0.01062,-1.06279,-0.17221
-0.93411,-0.01389,-0.90438,-0.01023,-1.05881,-0.16689
-0.93009,-0.01355,-0.90039,-0.00984,-1.05483,-0.16172
-0.92605,-0.01323,-0.89563,-0.0093,-1.05084,-0.15687
-0.92202,-0.01292,-0.89082,-0.00873,-1.04682,-0.15218
-0.91802,-0.01261,-0.88682,-0.00837,-1.04282,-0.14781
-0.91401,-0.01231,-0.8828,-0.00803,-1.03883,-0.14351
-0.90997,-0.012,-0.87881,-0.00771,-1.03483,-0.13946
-0.90595,-0.0117,-0.8748,-0.00743,-1.03083,-0.13544
-0.90194,-0.01144,-0.87078,-0.00722,-1.0268,-0.1317
-0.89793,-0.01121,-0.86676,-0.00694,-1.02281,-0.12802
-0.89394,-0.01095,-0.86276,-0.00668,-1.01882,-0.12446
-0.88991,-0.01076,-0.85877,-0.0065,-1.01484,-0.12108
-0.88589,-0.01059,-0.85475,-0.00632,-1.01084,-0.11781
-0.88187,-0.01042,-0.85071,-0.00614,-1.00682,-0.1147
-0.87786,-0.01033,-0.84672,-0.006,-1.00284,-0.11167
-0.87385,-0.01017,-0.84269,-0.00577,-0.99883,-0.10868
-0.86981,-0.01003,-0.83869,-0.00563,-0.99484,-0.10582
-0.86579,-0.00983,-0.83467,-0.00555,-0.99083,-0.10299
-0.8618,-0.0097,-0.83065,-0.00539,-0.98682,-0.1002
-0.85781,-0.00953,-0.82664,-0.00524,-0.98283,-0.09748
-0.85305,-0.00934,-0.82265,-0.00511,-0.97812,-0.09441
-0.84825,-0.00913,-0.81864,-0.00497,-0.97338,-0.09058
-0.84422,-0.00899,-0.8146,-0.0048,-0.96935,-0.08796
-0.8402,-0.00889,-0.81059,-0.00466,-0.96535,-0.08539
-0.83616,-0.00875,-0.80658,-0.0046,-0.96134,-0.08263
-0.83214,-0.00868,-0.80256,-0.00452,-0.95734,-0.07998
-0.82813,-0.00857,-0.79856,-0.00448,-0.95335,-0.07726
-0.82413,-0.00848,-0.79454,-0.00432,-0.94932,-0.07439
-0.82013,-0.0084,-0.79055,-0.00425,-0.94533,-0.07154
-0.81613,-0.00831,-0.78655,-0.0042,-0.94135,-0.06865
-0.8121,-0.0082,-0.78258,-0.00411,-0.93736,-0.06557
-0.80809,-0.00814,-0.77858,-0.00402,-0.93337,-0.06248
-0.80408,-0.00803,-0.77456,-0.00396,-0.92934,-0.05934
-0.80006,-0.00789,-0.77056,-0.00388,-0.92534,-0.05603
-0.79605,-0.0078,-0.76657,-0.00381,-0.92135,-0.05281
-0.79203,-0.00769,-0.76256,-0.00377,-0.91735,-0.04957
-0.78805,-0.00761,-0.75855,-0.00367,-0.91334,-0.04624
-0.78405,-0.00755,-0.75454,-0.00357,-0.90933,-0.04302
-0.78007,-0.00747,-0.75055,-0.00349,-0.90534,-0.03983
-0.77607,-0.00738,-0.74657,-0.00343,-0.90135,-0.03669
-0.77204,-0.00726,-0.74258,-0.00339,-0.89735,-0.03372
-0.76806,-0.00721,-0.73859,-0.00336,-0.89335,-0.0308
-0.76405,-0.00712,-0.73457,-0.00328,-0.88933,-0.02811
-0.76005,-0.00703,-0.73058,-0.00326,-0.88533,-0.02562
-0.75606,-0.00692,-0.72657,-0.00327,-0.88133,-0.02331
-0.75203,-0.00682,-0.72257,-0.0032,-0.87734,-0.02108
-0.74804,-0.00675,-0.71857,-0.00317,-0.87333,-0.01917
-0.74407,-0.00667,-0.71455,-0.00319,-0.86932,-0.01744
-0.74008,-0.00659,-0.71054,-0.00309,-0.86532,-0.01591
-0.73607,-0.00649,-0.70656,-0.00307,-0.86134,-0.01452
-0.73206,-0.00645,-0.70257,-0.00309,-0.85735,-0.0133
-0.72807,-0.00639,-0.69858,-0.00309,-0.85334,-0.01226
-0.72406,-0.00633,-0.69456,-0.003,-0.84934,-0.01134
-0.72006,-0.00628,-0.69057,-0.00295,-0.84534,-0.01054
-0.71606,-0.00621,-0.68656,-0.00287,-0.84134,-0.00987
-0.71204,-0.00612,-0.68256,-0.00284,-0.83735,-0.0093
-0.70804,-0.00606,-0.67856,-0.00278,-0.83177,-0.00838
-0.70406,-0.00598,-0.67455,-0.00272,-0.82778,-0.00799
-0.70008,-0.00588,-0.67055,-0.00273,-0.8238,-0.00765
-0.69606,-0.00578,-0.66658,-0.00266,-0.81981,-0.00736
-0.69206,-0.00566,-0.66259,-0.0026,-0.81581,-0.00708
-0.68807,-0.0056,-0.65858,-0.00256,-0.81179,-0.00686
-0.68405,-0.00552,-0.65456,-0.00255,-0.80779,-0.00667
-0.68007,-0.00545,-0.65058,-0.00251,-0.80379,-0.0065
-0.67604,-0.00539,-0.64658,-0.00246,-0.79978,-0.00632
-0.67205,-0.00531,-0.64258,-0.00243,-0.79577,-0.00619
-0.66806,-0.00525,-0.63857,-0.00238,-0.79174,-0.00606
-0.66407,-0.00517,-0.63456,-0.00232,-0.78775,-0.00594
-0.66009,-0.0051,-0.63057,-0.00227,-0.78378,-0.00584
-0.65606,-0.00504,-0.62659,-0.00222,-0.77979,-0.00574
-0.65206,-0.00495,-0.62258,-0.00218,-0.77578,-0.00565
-0.64806,-0.00487,-0.61856,-0.00217,-0.77176,-0.00556
-0.64406,-0.0048,-0.61457,-0.00216,-0.76778,-0.0055
-0.64007,-0.00472,-0.61057,-0.00215,-0.76376,-0.00544
-0.63605,-0.00464,-0.60655,-0.00213,-0.75976,-0.00536
-0.63205,-0.00454,-0.60256,-0.0021,-0.75576,-0.00528
-0.62807,-0.00449,-0.59855,-0.00207,-0.75175,-0.00521
