Au(110),,Au(111),,Au(100),
E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2),E(V vs. RHE),j (mA/cm2)
-0.0223,-0.00204,-0.02226,-7.33E-04,-0.11213,-0.00109
-0.0233,-0.00205,-0.02324,-6.99E-04,-0.11315,-0.00109
-0.02431,-0.00205,-0.02426,-7.20E-04,-0.11414,-0.00109
-0.02529,-0.00205,-0.02525,-7.02E-04,-0.11512,-0.00109
-0.0263,-0.00205,-0.02626,-7.21E-04,-0.11613,-0.0011
-0.0273,-0.00203,-0.02727,-6.96E-04,-0.11714,-0.00109
-0.02831,-0.00205,-0.02826,-7.29E-04,-0.11814,-0.00109
-0.02931,-0.00205,-0.02924,-7.02E-04,-0.11913,-0.00109
-0.03029,-0.00203,-0.03024,-7.06E-04,-0.1201,-0.00109
-0.03129,-0.00205,-0.03126,-7.19E-04,-0.12111,-0.0011
-0.03228,-0.00204,-0.03226,-7.07E-04,-0.12213,-0.00109
-0.0333,-0.00205,-0.03324,-7.07E-04,-0.12311,-0.0011
-0.03429,-0.00204,-0.03425,-7.17E-04,-0.12411,-0.00109
-0.03527,-0.00204,-0.03525,-7.11E-04,-0.12511,-0.00109
-0.03629,-0.00205,-0.03623,-7.13E-04,-0.12611,-0.0011
-0.0373,-0.00205,-0.03724,-7.16E-04,-0.12712,-0.0011
-0.03829,-0.00204,-0.03826,-7.10E-04,-0.12813,-0.00112
-0.03928,-0.00204,-0.03924,-7.09E-04,-0.12911,-0.00109
-0.0403,-0.00204,-0.04025,-7.23E-04,-0.13012,-0.00111
-0.0413,-0.00214,-0.04124,-7.08E-04,-0.13111,-0.0011
-0.0423,-0.00206,-0.04225,-7.14E-04,-0.1321,-0.00111
-0.0433,-0.00205,-0.04327,-7.24E-04,-0.13312,-0.0011
-0.04429,-0.00204,-0.04424,-7.08E-04,-0.13412,-0.0011
-0.0453,-0.00205,-0.04523,-7.24E-04,-0.1351,-0.00111
-0.04629,-0.00204,-0.04626,-7.10E-04,-0.1361,-0.00111
-0.0473,-0.00203,-0.04725,-7.16E-04,-0.13711,-0.00111
-0.04829,-0.00206,-0.04825,-7.13E-04,-0.1381,-0.00111
-0.04928,-0.00206,-0.04924,-7.24E-04,-0.13909,-0.00111
-0.0503,-0.00205,-0.05024,-7.15E-04,-0.1401,-0.00112
-0.0513,-0.00205,-0.05124,-7.22E-04,-0.1411,-0.00112
-0.05231,-0.00205,-0.05224,-7.19E-04,-0.14211,-0.00114
-0.05331,-0.00206,-0.05323,-7.20E-04,-0.14309,-0.00113
-0.05428,-0.00203,-0.05423,-7.16E-04,-0.14409,-0.00113
-0.05528,-0.00204,-0.05524,-7.24E-04,-0.14509,-0.00112
-0.05627,-0.00205,-0.05625,-7.15E-04,-0.14609,-0.00115
-0.05727,-0.00205,-0.05726,-7.22E-04,-0.1471,-0.00115
-0.05827,-0.00205,-0.05825,-7.08E-04,-0.14809,-0.00114
-0.05927,-0.00204,-0.05923,-7.30E-04,-0.14908,-0.00114
-0.06029,-0.00207,-0.06024,-7.11E-04,-0.15009,-0.00115
-0.06127,-0.00205,-0.06126,-7.35E-04,-0.1511,-0.00116
