Ar,sat,pCO2(atm),0.1,pCO2(atm),0.2,pCO2(atm),0.3,pCO2(atm),0.5,pCO2(atm),0.6,pCO2(atm),1
pH,9.3,pH,7.76,pH,7.41,pH,7.29,pH,7.08,pH,7,pH,6.81
E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2),E(V vs. SHE),j (mA/cm2)
-0.80907,-0.0077,-0.71909,-0.00858,-0.69906,-0.00817,-0.68908,-0.00822,-0.67905,-0.00934,-0.66911,-0.00795,-0.3955,-0.00134
-0.81309,-0.00775,-0.72309,-0.00879,-0.70307,-0.00839,-0.69308,-0.0085,-0.68307,-0.00959,-0.6731,-0.00821,-0.3965,-0.00135
-0.81715,-0.00792,-0.7271,-0.00905,-0.70708,-0.00872,-0.69708,-0.00887,-0.68706,-0.00982,-0.6771,-0.00849,-0.39752,-0.00132
-0.82116,-0.00798,-0.7311,-0.00935,-0.71108,-0.00901,-0.7011,-0.00916,-0.69108,-0.01015,-0.68111,-0.00881,-0.39852,-0.00134
-0.82516,-0.00812,-0.73509,-0.00959,-0.71509,-0.00929,-0.70508,-0.00952,-0.69507,-0.01048,-0.6851,-0.00905,-0.39952,-0.00133
-0.82917,-0.00826,-0.73912,-0.00987,-0.71912,-0.00964,-0.70906,-0.00989,-0.69909,-0.01087,-0.6891,-0.00943,-0.4005,-0.00133
-0.83318,-0.00837,-0.74311,-0.0103,-0.72313,-0.00999,-0.71307,-0.0103,-0.70309,-0.01131,-0.6931,-0.00988,-0.40151,-0.00134
-0.83721,-0.00842,-0.74709,-0.01064,-0.72717,-0.01041,-0.71708,-0.01079,-0.70707,-0.01186,-0.69709,-0.01036,-0.40252,-0.00132
-0.84122,-0.0086,-0.75107,-0.01106,-0.73118,-0.01079,-0.72109,-0.01127,-0.71105,-0.0124,-0.70112,-0.01092,-0.40349,-0.00133
-0.84524,-0.00879,-0.75507,-0.01149,-0.7352,-0.01131,-0.72508,-0.01184,-0.71506,-0.01304,-0.70511,-0.01147,-0.40452,-0.00134
-0.84927,-0.00898,-0.75908,-0.01191,-0.73923,-0.01181,-0.72909,-0.0125,-0.71908,-0.01376,-0.70909,-0.01207,-0.40552,-0.00132
-0.85328,-0.00921,-0.76307,-0.0125,-0.74323,-0.01235,-0.73308,-0.01318,-0.72308,-0.01459,-0.71309,-0.01277,-0.40651,-0.00136
-0.85732,-0.00936,-0.76709,-0.01307,-0.74722,-0.01307,-0.7371,-0.01399,-0.72709,-0.01562,-0.71709,-0.01355,-0.40752,-0.00132
-0.86132,-0.00958,-0.77108,-0.01382,-0.75122,-0.01384,-0.74111,-0.01496,-0.73109,-0.01671,-0.7211,-0.01452,-0.4085,-0.00133
-0.86533,-0.00974,-0.77509,-0.01472,-0.75523,-0.01475,-0.74511,-0.01601,-0.73509,-0.01794,-0.7251,-0.01553,-0.4095,-0.00134
-0.86935,-0.00992,-0.7791,-0.01565,-0.7592,-0.0157,-0.74907,-0.01719,-0.73911,-0.01928,-0.72911,-0.01671,-0.41052,-0.00134
-0.87336,-0.01027,-0.78309,-0.01669,-0.76315,-0.01682,-0.75306,-0.01858,-0.74382,-0.02098,-0.7331,-0.018,-0.41153,-0.00133
-0.87738,-0.01061,-0.78707,-0.01796,-0.76717,-0.01817,-0.75781,-0.0204,-0.74853,-0.02323,-0.73787,-0.0198,-0.41251,-0.00133
-0.88139,-0.01087,-0.79181,-0.01951,-0.77192,-0.02,-0.76254,-0.02257,-0.75253,-0.02548,-0.74259,-0.02188,-0.41353,-0.00134
-0.88542,-0.01126,-0.79655,-0.02151,-0.77668,-0.02203,-0.76655,-0.02471,-0.75655,-0.02799,-0.74656,-0.02394,-0.41452,-0.00133
-0.88944,-0.01162,-0.80056,-0.02349,-0.78069,-0.02408,-0.77055,-0.02705,-0.76055,-0.03086,-0.75054,-0.02632,-0.4155,-0.00133
-0.89347,-0.01208,-0.80458,-0.02575,-0.78468,-0.02644,-0.77456,-0.02982,-0.76454,-0.03404,-0.75454,-0.02902,-0.41653,-0.00133
-0.89748,-0.01267,-0.80854,-0.02821,-0.78869,-0.02916,-0.77857,-0.03293,-0.76854,-0.03764,-0.75857,-0.03207,-0.41751,-0.00132
-0.90149,-0.01314,-0.81246,-0.03114,-0.79269,-0.03222,-0.78255,-0.03637,-0.77254,-0.04162,-0.76257,-0.03545,-0.41851,-0.00134
-0.90548,-0.01377,-0.81642,-0.03427,-0.79668,-0.03565,-0.78653,-0.04028,-0.77657,-0.04604,-0.76657,-0.03919,-0.41951,-0.00134
-0.90949,-0.01437,-0.82033,-0.03781,-0.80063,-0.03945,-0.79053,-0.04457,-0.78055,-0.05094,-0.77057,-0.04332,-0.42051,-0.00132
-0.91351,-0.01498,-0.82423,-0.04182,-0.80453,-0.04368,-0.79455,-0.04938,-0.78453,-0.05635,-0.77458,-0.04789,-0.42152,-0.00134
-0.91753,-0.01572,-0.82814,-0.04626,-0.80829,-0.04814,-0.79855,-0.05469,-0.78854,-0.06227,-0.77858,-0.05298,-0.42251,-0.00133
-0.92154,-0.01651,-0.83206,-0.05114,-0.81206,-0.05309,-0.80255,-0.06058,-0.79253,-0.06873,-0.78258,-0.05857,-0.42352,-0.00135
-0.92554,-0.01738,-0.83605,-0.05669,-0.81583,-0.05854,-0.80657,-0.06712,-0.79655,-0.07591,-0.78656,-0.06483,-0.42452,-0.00132
-0.92955,-0.01832,-0.84002,-0.06277,-0.81952,-0.06444,-0.8106,-0.07432,-0.80054,-0.0839,-0.79055,-0.07171,-0.42552,-0.00135
-0.93358,-0.01929,-0.84396,-0.0694,-0.82326,-0.07097,-0.81462,-0.08211,-0.80441,-0.09224,-0.79458,-0.07928,-0.42653,-0.00135
-0.93831,-0.0204,-0.84787,-0.07657,-0.82712,-0.07826,-0.81864,-0.09081,-0.80816,-0.1011,-0.79857,-0.08746,-0.42753,-0.00131
-0.94305,-0.0216,-0.85186,-0.08436,-0.83095,-0.08619,-0.82264,-0.10031,-0.81199,-0.11091,-0.80258,-0.09641,-0.42852,-0.00135
-0.94706,-0.02267,-0.85582,-0.09279,-0.83462,-0.09441,-0.82669,-0.11067,-0.81587,-0.12164,-0.80662,-0.10628,-0.42952,-0.00133
-0.95109,-0.02377,-0.85967,-0.10168,-0.83825,-0.10321,-0.83074,-0.12195,-0.81961,-0.1331,-0.81067,-0.11702,-0.43053,-0.00134
-0.9551,-0.02488,-0.86353,-0.1112,-0.84193,-0.11271,-0.83478,-0.1343,-0.82342,-0.14558,-0.8147,-0.12885,-0.43152,-0.00133
-0.9591,-0.02605,-0.86751,-0.12151,-0.84559,-0.12297,-0.83881,-0.14752,-0.82726,-0.15923,-0.81873,-0.14179,-0.43252,-0.00133
-0.96312,-0.02727,-0.87141,-0.13229,-0.84918,-0.13363,-0.84283,-0.16189,-0.8311,-0.17395,-0.82275,-0.1559,-0.43352,-0.00134
-0.96714,-0.02857,-0.87513,-0.14327,-0.85284,-0.14536,-0.84688,-0.17743,-0.83491,-0.18985,-0.82678,-0.17108,-0.43452,-0.00133
-0.97117,-0.02989,-0.87891,-0.15484,-0.85644,-0.15787,-0.85165,-0.19714,-0.83928,-0.20944,-0.8308,-0.18754,-0.43552,-0.00134
-0.97518,-0.03131,-0.88269,-0.167,-0.85999,-0.17075,-0.85638,-0.21896,-0.84359,-0.23067,-0.83558,-0.20894,-0.4365,-0.00133
-0.97917,-0.03258,-0.88648,-0.17965,-0.86355,-0.18444,-0.8604,-0.23854,-0.84721,-0.24976,-0.84035,-0.23263,-0.43751,-0.00133
-0.98316,-0.03395,-0.89024,-0.19268,-0.86785,-0.20179,-0.86444,-0.25945,-0.85097,-0.27068,-0.84441,-0.25398,-0.43852,-0.00136
-0.98718,-0.03536,-0.89476,-0.20905,-0.872,-0.22034,-0.86846,-0.2816,-0.85467,-0.29282,-0.84842,-0.27686,-0.43952,-0.00133
-0.99121,-0.03674,-0.89923,-0.22567,-0.87536,-0.23567,-0.87248,-0.30544,-0.85805,-0.31478,-0.85242,-0.3015,-0.44052,-0.00134
-0.99523,-0.03832,-0.90296,-0.23979,-0.8787,-0.25166,-0.87651,-0.33039,-0.86157,-0.33824,-0.85645,-0.32802,-0.44151,-0.00133
-0.99923,-0.03983,-0.90672,-0.25459,-0.8821,-0.26848,-0.88054,-0.35657,-0.86529,-0.36467,-0.86049,-0.3562,-0.44252,-0.00135
-1.00324,-0.04139,-0.9104,-0.26895,-0.88547,-0.28619,-0.88453,-0.38471,-0.86883,-0.39108,-0.86451,-0.38621,-0.4435,-0.00133
-1.00726,-0.04299,-0.91414,-0.28351,-0.88892,-0.30464,-0.88854,-0.41377,-0.87229,-0.41917,-0.86851,-0.41834,-0.44452,-0.00134
-1.01129,-0.04471,-0.91782,-0.29847,-0.89248,-0.32482,-0.89259,-0.44402,-0.87582,-0.44842,-0.87255,-0.45205,-0.44552,-0.00134
-1.01528,-0.04651,-0.92144,-0.31298,-0.89596,-0.34505,-0.8966,-0.47512,-0.87925,-0.47823,-0.87657,-0.48809,-0.44653,-0.00135
-1.0193,-0.04835,-0.9252,-0.32807,-0.89945,-0.36563,-0.90063,-0.50824,-0.88267,-0.50974,-0.8806,-0.5262,-0.44751,-0.00133
-1.02332,-0.05021,-0.92899,-0.34309,-0.90277,-0.3857,-0.90466,-0.54212,-0.88604,-0.54273,-0.88464,-0.56598,-0.44851,-0.00136
