voltages,currents
-0.363119169,0.286965424
-0.354079245,0.307332567
-0.347940089,0.329221819
-0.343131498,0.029046573
-0.340983832,0.352840876
-0.334031986,0.377276903
-0.328311886,0.400246419
-0.321532402,0.42380603
-0.318363347,0.033700951
-0.31352506,0.449551863
-0.306594851,0.477994935
-0.299674621,0.508285915
-0.293161138,0.039962818
-0.292732596,0.534540673
-0.288912035,0.555815864
-0.285873323,0.57612057
-0.280413004,0.5956621
-0.274574672,0.6154769
-0.273838114,0.643055099
-0.272021309,0.634562847
-0.269302178,0.049009209
-0.264449704,0.663484809
-0.26166876,0.685147064
-0.254711242,0.7085327
-0.247781033,0.736975772
-0.244110211,0.057167614
-0.240494336,0.764993088
-0.237419182,0.785837126
-0.23045005,0.807071963
-0.223038466,0.828359546
-0.21934296,0.06198872
-0.215603564,0.845328858
-0.203819899,0.860457532
-0.194571208,0.065976183
-0.185856605,0.85718347
-0.180540934,0.841042997
-0.173878714,0.825411021
-0.169794954,0.069130003
-0.166686038,0.805247142
-0.160816263,0.78409972
-0.156739592,0.767055419
-0.149844308,0.747305155
-0.1450169,0.071950366
-0.142517487,0.724163119
-0.134555987,0.698768523
-0.128200798,0.67468679
-0.120610969,0.653854716
-0.120238845,0.074770729
-0.112640314,0.635377792
-0.106336977,0.61592956
-0.099144706,0.59584071
-0.095460791,0.077591091
-0.091958737,0.576918959
-0.084776707,0.558726646
-0.077600979,0.541701434
-0.070682737,0.080411454
-0.069549259,0.526432325
-0.058833889,0.509824908
-0.052099533,0.492546876
-0.045904682,0.083231816
-0.040933526,0.474476363
-0.030210854,0.456516592
-0.021127528,0.086218908
-0.019496585,0.440112954
-0.008783716,0.423968672
0.003648726,0.089372728
0.008621282,0.407476563
0.023280666,0.389281675
0.02842588,0.092359819
0.037534439,0.373321305
0.052177192,0.358206265
0.053200333,0.095847096
0.069575258,0.342997966
0.077975686,0.099167644
0.087366084,0.327934736
0.102748339,0.102988379
0.105800355,0.312970963
0.12648332,0.298977741
0.127523692,0.106308927
0.148634271,0.283754325
0.152293644,0.110629847
0.170542453,0.273124651
0.177066296,0.114450582
0.18548284,0.26119514
0.201836248,0.118771502
0.206260976,0.253429014
0.224779091,0.242814825
0.226603499,0.123592608
0.246067583,0.235943112
0.251370749,0.128413714
0.266340036,0.22592035
0.2761371,0.133401549
0.290288014,0.218481449
0.30090165,0.138722841
0.314683441,0.21016995
0.325665299,0.144210861
0.339522715,0.201652766
0.350428048,0.14986561
0.36436019,0.19346904
0.375187196,0.156187274
0.389194062,0.185952228
0.399945444,0.162675666
0.414026135,0.178768873
0.425150578,0.168395665
0.438841101,0.174753363
