Pressure,Voltage,Value
0.1,-1.138016471320659,-1.17157342624536
0.1,-1.1500164713206587,-1.0896211274980103
0.1,-1.162016471320659,-1.01555542566727
0.1,-1.174016471320659,-0.9504146849244699
0.1,-1.1860164713206587,-0.893677094542216
0.1,-1.1980164713206585,-0.8442651402772889
0.1,-1.1899835286793419,-0.7881002661459975
0.1,-1.1779835286793414,-0.7411745313906528
0.1,-1.1659835286793416,-0.7001289133716946
0.1,-1.1539835286793418,-0.6618053316480277
0.1,-1.1419835286793414,-0.6246686280727691
0.1,-1.1299835286793416,-0.587629446876088
0.1,-1.117983528679342,-0.5498509991561816
0.1,-1.1059835286793422,-0.5107291995222515
0.1,-1.0939835286793425,-0.4699334298501853
0.1,-1.081983528679342,-0.4274619369271295
0.1,-1.0699835286793422,-0.38367533127779174
0.1,-1.0579835286793424,-0.3392787196194567
0.1,-1.045983528679342,-0.2952393767521878
0.1,-1.0339835286793422,-0.2526502229000071
0.1,-1.0219835286793426,-0.21256989279730165
0.1,-1.0099835286793428,-0.17587829651685263
0.1,-0.997983528679343,-0.14317940407838178
0.1,-0.9859835286793426,-0.11476544701168945
0.1,-0.9739835286793429,-0.09063768268943016
0.1,-0.9619835286793431,-0.07056586629713224
0.1,-0.9499835286793427,-0.05416459088206826
0.1,-0.937983528679343,-0.04096808660278196
0.1,-0.9259835286793432,-0.0304920277060312
0.1,-0.9139835286793434,-0.022277717932606356
0.1,-0.9019835286793436,-0.01591863170949525
0.1,-0.8899835286793432,-0.011071328741944497
0.1,-0.8779835286793435,-0.0074532454106039136
0.1,-0.8659835286793438,-0.004830628042038995
0.1,-0.8539835286793434,-0.003002217071360983
0.1,-0.8419835286793436,-0.0017866783902684943
0.1,-0.8299835286793438,-0.001019887942978311
0.1,-0.817983528679344,-0.0005608743286594358
0.1,-0.8059835286793443,-0.00029892080220019174
0.1,-0.7939835286793439,-0.00015533038721063402
0.1,-0.7819835286793434,-7.908766005905172e-5
0.1,-0.7699835286793437,-3.9555115460751864e-5
0.1,-0.7579835286793439,-1.939219348295247e-5
0.1,-0.7459835286793435,-9.20611747608812e-6
0.1,-0.733983528679343,-4.0670600804892035e-6
0.1,-0.7219835286793432,-1.4439058569089713e-6
0.1,-0.7099835286793434,-5.607827115333726e-8
0.1,-0.6979835286793431,7.387868584234806e-7
0.1,-0.6859835286793426,1.2622752890686124e-6
0.1,-0.6739835286793429,1.6766826679009918e-6
0.1,-0.6619835286793431,2.066152139382794e-6
0.1,-0.6499835286793426,2.477157086978339e-6
0.1,-0.6379835286793422,2.9386602032884427e-6
0.1,-0.6259835286793425,3.4722212586715898e-6
0.1,-0.6139835286793427,4.097177536077655e-6
0.1,-0.6019835286793422,4.8334600376378405e-6
0.1,-0.5899835286793418,5.703278937802971e-6
0.1,-0.577983528679342,6.732345645918605e-6
0.1,-0.5659835286793423,7.950934695173657e-6
0.1,-0.5539835286793419,9.39495861298718e-6
0.1,-0.5419835286793414,1.1107166512350095e-5
0.1,-0.5299835286793416,1.3138541586275467e-5
0.1,-0.5179835286793419,1.554995338031451e-5
0.1,-0.5059835286793415,1.841414020799263e-5
0.1,-0.49398352867934103,2.1818086411089313e-5
0.1,-0.48198352867934124,2.5865889972849137e-5
0.1,-0.46998352867934146,3.068222046783958e-5
0.1,-0.457983528679341,3.641649064599987e-5
0.1,-0.44598352867934055,4.324790340818547e-5
0.1,-0.43398352867934087,5.139154985774256e-5
0.1,-0.4219835286793411,6.110580017761338e-5
0.1,-0.4099835286793406,7.270124627792752e-5
0.1,-0.39798352867934017,8.655156151687264e-5
0.1,-0.3859835286793405,0.00010310667832732722
0.1,-0.3739835286793407,0.00012290878323544308
0.1,-0.36198352867934025,0.0001466117833618861
0.1,-0.3499835286793398,0.0001750049819305938
0.1,-0.33798352867934,0.00020904190525545472
0.1,-0.32598352867934033,0.0002498754366684507
0.1,-0.3139835286793399,0.00029890064285911826
0.1,-0.3019835286793394,0.000357807020988617
0.1,-0.28998352867933963,0.00042864224477438524
0.1,-0.27798352867933995,0.0005138899730134652
0.1,-0.2659835286793395,0.0006165647939200952
0.1,-0.25398352867933904,0.0007403280627346992
0.1,-0.24198352867933925,0.0008896291163760843
0.1,-0.22998352867933947,0.0010698772497623012
0.1,-0.217983528679339,0.0012876507537967568
0.1,-0.20598352867933856,0.0015509504237770722
0.1,-0.19398352867933877,0.0018695059269302845
0.1,-0.1819835286793392,0.0022551443295873498
0.1,-0.16998352867933875,0.0027222306525021686
0.1,-0.1579835286793383,0.0032881900955292727
0.1,-0.1459835286793385,0.003974120085497405
0.1,-0.13398352867933871,0.00480549656799582
0.1,-0.12198352867933826,0.005812971669416824
0.1,-0.1099835286793378,0.007033247163570002
0.1,-0.09798352867933802,0.008509987477923446
0.1,-0.08598352867933823,0.010294704058003668
0.1,-0.07398352867933777,0.012447496154059007
0.1,-0.06198352867933732,0.01503746808301925
0.1,-0.04998352867933775,0.018142558434315184
0.1,-0.03798352867933796,0.02184841601826014
0.1,-0.02598352867933751,0.026245853913850023
0.1,-0.013983528679337054,0.031426335864418176
0.1,-0.0019835286793372653,0.03747494937440731
0.1,0.010016471320662523,0.04446047065811193
0.1,0.022016471320662978,0.05242251211283649
0.1,0.03401647132066343,0.06135642397545761
0.1,0.04601647132066322,0.0711975768816434
0.1,0.05801647132066301,0.08180771094172154
0.1,0.07001647132066346,0.09296684997861039
0.1,0.08201647132066392,0.10437438668776078
0.1,0.09401647132066349,0.11566197261323584
0.1,0.10601647132066327,0.1264187733994054
0.1,0.11801647132066373,0.1362269602446406
0.1,0.13001647132066418,0.14470287452702965
0.1,0.14201647132066397,0.15153797011826314
0.1,0.15401647132066376,0.15653374826264776
0.1,0.16601647132066422,0.1596260747125607
0.1,0.17801647132066467,0.16089565905858327
0.1,0.19001647132066446,0.16056241257452833
0.1,0.20201647132066403,0.1589621074127393
0.1,0.21401647132066448,0.15650553196761263
0.1,0.22601647132066494,0.1536245147748273
0.1,0.23801647132066472,0.15071507984240984
0.1,0.2500164713206645,0.148091815592552
0.1,0.26201647132066497,0.14596499175826125
0.1,0.2740164713206654,0.14444310522213424
0.1,0.2860164713206652,0.1435539458479539
0.1,0.298016471320665,0.14327291525767108
0.1,0.31001647132066545,0.14354924123458176
0.1,0.3220164713206659,0.14432552370441656
0.1,0.3340164713206655,0.14555010635218985
0.1,0.34601647132066526,0.1471837210387331
0.1,0.3580164713206657,0.14920212931763296
0.1,0.3700164713206662,0.1515959799888016
0.1,0.38201647132066596,0.15436844736458388
0.1,0.39401647132066575,0.15753071564777157
0.1,0.4060164713206662,0.16109515989965156
0.1,0.41801647132066666,0.16506620525029123
0.1,0.43001647132066645,0.16942930708797016
0.1,0.442016471320666,0.17413912257709574
0.1,0.45401647132066647,0.17910844097371584
0.1,0.4660164713206669,0.1841995656761828
0.1,0.4780164713206667,0.18921964411070902
0.1,0.4900164713206665,0.19392126770997561
0.1,0.502016471320667,0.19800986471245258
0.1,0.5140164713206674,0.20115999813522586
0.1,0.5260164713206672,0.2030431579951425
0.1,0.538016471320667,0.20336894204501085
0.1,0.5500164713206674,0.2019381608289547
0.1,0.5620164713206679,0.19869919964118785
0.1,0.5740164713206675,0.193789151378871
0.1,0.5860164713206673,0.18753527385399058
0.1,0.5980164713206677,0.180400886002262
0.1,0.6100164713206682,0.17288679001017274
0.1,0.622016471320668,0.16542826008293454
0.1,0.6340164713206677,0.1583309440466098
0.1,0.6460164713206682,0.1517613154796098
0.1,0.6580164713206686,0.14577551579403789
0.1,0.6700164713206684,0.1403598943162163
0.1,0.682016471320668,0.13546536378652116
0.1,0.6940164713206685,0.13103010998526496
0.1,0.7060164713206689,0.126992207145216
0.1,0.7180164713206687,0.12329549489342902
0.1,0.7300164713206685,0.11989157414516854
0.1,0.742016471320669,0.11673982803600225
0.1,0.7540164713206694,0.11380621065552941
0.1,0.7660164713206692,0.11106329678640225
0.1,0.778016471320669,0.1084883134097715
0.1,0.7900164713206694,0.10606199670342747
0.1,0.7979835286793311,0.10376376179898922
0.1,0.7859835286793313,0.10156680530046752
0.1,0.7739835286793316,0.0994907658193033
0.1,0.7619835286793318,0.09751513985985288
0.1,0.7499835286793322,0.09562924863523932
0.1,0.7379835286793324,0.09382436336961264
0.1,0.7259835286793326,0.09209386559404797
0.1,0.7139835286793329,0.09043173257591708
0.1,0.7019835286793331,0.08883244111781172
0.1,0.6899835286793334,0.0872910609597029
0.1,0.6779835286793336,0.08580308859073724
0.1,0.6659835286793339,0.08436434845814417
0.1,0.6539835286793342,0.08297091229394436
0.1,0.6419835286793344,0.08161902785486067
0.1,0.6299835286793347,0.08030505283591977
0.1,0.6179835286793349,0.07902539115354063
0.1,0.6059835286793351,0.0777764295788958
0.1,0.5939835286793355,0.07655447319559201
0.1,0.5819835286793357,0.0753556786387396
0.1,0.569983528679336,0.07417598458607112
0.1,0.5579835286793362,0.07301103962167067
0.1,0.5459835286793364,0.071856128454389
0.1,0.5339835286793366,0.07070609859454001
0.1,0.521983528679337,0.06955529100820519
0.1,0.5099835286793373,0.06839747997821505
0.1,0.4979835286793375,0.06722582927712055
0.1,0.4859835286793377,0.06603287356892379
0.1,0.47398352867933796,0.06481053539365754
0.1,0.46198352867933823,0.06355018854915209
0.1,0.4499835286793385,0.06224277771255045
0.1,0.43798352867933876,0.06087900123856486
0.1,0.425983528679339,0.059449559154683695
0.1,0.41398352867933924,0.0579454618829022
0.1,0.4019835286793395,0.05635838817403609
0.1,0.3899835286793405,0.054681074682631614
0.1,0.37798352867934004,0.05290771587980408
0.1,0.3659835286793396,0.05103435251035915
0.1,0.3539835286793405,0.049059229291000706
0.1,0.3419835286793415,0.04698310677612802
0.1,0.32998352867934105,0.044809516403843966
0.1,0.3179835286793406,0.04254494991627243
0.1,0.30598352867934153,0.040198973558068785
0.1,0.2939835286793425,0.03778425386592172
0.1,0.28198352867934207,0.03531647679283464
0.1,0.2699835286793416,0.032814137622420324
0.1,0.2579835286793426,0.030298178425026134
0.1,0.2459835286793436,0.027791455231858997
0.1,0.23398352867934313,0.025318030348809563
0.1,0.22198352867934268,0.022902306183927468
0.1,0.20998352867934356,0.020568043146713906
0.1,0.19798352867934454,0.018337330666759473
0.1,0.1859835286793441,0.016229600621843806
0.1,0.17398352867934364,0.014260780071037434
0.1,0.16198352867934462,0.012442671036010383
0.1,0.1499835286793456,0.010782619329175345
0.1,0.13798352867934516,0.0092834967696259
0.1,0.1259835286793447,0.007943979742819083
0.1,0.11398352867934558,0.0067590709000828544
0.1,0.10198352867934657,0.00572078687213004
0.1,0.08998352867934611,0.0048189263360234914
0.1,0.07798352867934566,0.004041838651350528
