ScanRate,Voltage,Value
0.01,-0.8169932053790716,-0.06866130140611666
0.01,-0.8369932053790716,-0.11581460645192626
0.01,-0.8569932053790716,-0.19341888799554213
0.01,-0.8769932053790717,-0.3203255173348707
0.01,-0.8969932053790717,-0.5263507611713755
0.01,-0.9169932053790717,-0.856606892375464
0.01,-0.9369932053790717,-1.3721440862012146
0.01,-0.9569932053790717,-2.139090479060028
0.01,-0.9769932053790717,-3.1970285027302756
0.01,-0.9969932053790718,-4.5127490162608686
0.01,-1.0169932053790718,-5.952370883947068
0.01,-1.0369932053790716,-7.31772508660525
0.01,-1.0569932053790716,-8.442219237656197
0.01,-1.0769932053790716,-9.263686520264958
0.01,-1.0969932053790716,-9.81340300978213
0.01,-1.1169932053790717,-10.159953802682715
0.01,-1.1369932053790717,-10.369252479267749
0.01,-1.1569932053790717,-10.491651231590625
0.01,-1.1769932053790717,-10.561686780254837
0.01,-1.1969932053790717,-10.601309534536735
0.01,-1.1830067946209282,-10.478882776881203
0.01,-1.1630067946209282,-10.326875828209362
0.01,-1.1430067946209284,-10.10740603097019
0.01,-1.1230067946209283,-9.77008092825868
0.01,-1.1030067946209283,-9.269046102210707
0.01,-1.0830067946209283,-8.565830715975066
0.01,-1.0630067946209283,-7.645530060811843
0.01,-1.0430067946209283,-6.535067149247157
0.01,-1.0230067946209283,-5.311316061295843
0.01,-1.0030067946209282,-4.087235113114264
0.01,-0.9830067946209282,-2.977250233861711
0.01,-0.9630067946209282,-2.060912958433795
0.01,-0.9430067946209282,-1.3660970514282385
0.01,-0.9230067946209283,-0.8765317495519686
0.01,-0.9030067946209283,-0.5519754041427983
0.01,-0.8830067946209282,-0.3459616852861733
0.01,-0.8630067946209283,-0.21570512439033807
0.01,-0.8430067946209283,-0.13207079740676297
0.01,-0.8230067946209283,-0.07934863336240659
0.01,-0.8030067946209283,-0.04687488711833074
0.01,-0.7830067946209283,-0.027109370760220654
0.01,-0.7630067946209282,-0.015155732354224603
0.01,-0.7430067946209282,-0.008003329630280293
0.01,-0.7230067946209282,-0.003864113099006257
0.01,-0.7030067946209282,-0.001654092340921726
0.01,-0.6830067946209283,-0.000622432191725108
0.01,-0.6630067946209283,-0.0002104319759211607
0.01,-0.6430067946209282,-6.625240429597929e-5
0.01,-0.6230067946209282,-2.0031044646248885e-5
0.01,-0.6030067946209282,-5.930773139842403e-6
0.01,-0.5830067946209282,-1.7381699722572279e-6
0.01,-0.5630067946209283,-5.070379634473442e-7
0.01,-0.5430067946209283,-1.476218661889735e-7
0.01,-0.5230067946209283,-4.295539655904233e-8
0.01,-0.5030067946209282,-1.2500973638213812e-8
0.01,-0.4830067946209282,-3.639909757080059e-9
0.01,-0.4630067946209282,-1.0606042418559146e-9
0.01,-0.4430067946209283,-3.0931098896072894e-10
0.01,-0.4230067946209283,-9.030094609848589e-11
0.01,-0.40300679462092825,-2.6385120112117497e-11
0.01,-0.38300679462092824,-7.71853290451045e-12
0.01,-0.3630067946209282,-2.26094297597538e-12
0.01,-0.3430067946209282,-6.64091490113925e-13
0.01,-0.3230067946209283,-1.898311538047585e-13
0.01,-0.3030067946209283,-5.799322007634713e-14
0.01,-0.28300679462092826,-1.9807772602616286e-14
0.01,-0.26300679462092824,-4.007469671535777e-15
0.01,-0.24300679462092822,-2.2923236911225888e-15
0.01,-0.2230067946209282,-2.0460295695410458e-16
0.01,-0.2030067946209282,2.2676841030879277e-16
0.01,-0.18300679462092817,-6.3116771902018456e-15
0.01,-0.16300679462092815,2.671440934890488e-15
0.01,-0.14300679462092813,-4.913844968304827e-15
0.01,-0.12300679462092834,1.4216018722538828e-15
0.01,-0.10300679462092832,5.665648700942601e-16
0.01,-0.0830067946209283,1.6923679791982169e-15
0.01,-0.06300679462092829,-1.9369621308222303e-15
0.01,-0.04300679462092827,-8.27116392296134e-15
0.01,-0.02300679462092825,-1.0323247141388707e-15
0.01,-0.0030067946209282326,-6.072085180225163e-16
0.01,0.016993205379071785,-4.049639700939984e-16
0.01,0.0369932053790718,-4.1185762760956665e-16
0.01,0.05699320537907182,-1.80337082972314e-15
0.01,0.07699320537907184,-7.1195420213099305e-16
0.01,0.09699320537907186,-1.1838814254464057e-15
0.01,0.11699320537907187,-1.2462655342399677e-16
0.01,0.13699320537907167,-2.1931009141061791e-16
0.01,0.1569932053790717,5.779758186706813e-16
0.01,0.1769932053790717,-1.3173490198114973e-15
0.01,0.19699320537907172,-3.1408042363802842e-15
