Index,Voltage,Concentration
7,-0.950101684,8.02E-05
7,-0.939021366,6.83E-05
7,-0.930300148,6.39E-05
7,-0.920868871,5.33E-05
7,-0.912067904,4.77E-05
7,-0.902637401,4.09E-05
7,-0.894023831,3.51E-05
7,-0.885349005,3.20E-05
7,-0.873874661,2.60E-05
7,-0.86494136,2.21E-05
7,-0.856899362,1.95E-05
7,-0.847310294,1.58E-05
7,-0.82056214,9.48E-06
7,-0.811391713,7.62E-06
7,-0.802195596,6.24E-06
7,-0.794336979,5.53E-06
7,-0.784984203,4.60E-06
7,-0.777006281,3.86E-06
7,-0.755506113,2.15E-06
7,-0.745443741,1.62E-06
7,-0.736560613,1.27E-06
7,-0.727754373,9.35E-07
7,-0.717771319,7.27E-07
7,-0.708806832,5.13E-07
7,-0.700235621,3.69E-07
7,-0.691428658,2.65E-07
7,-0.682254716,1.87E-07
7,-0.672318718,1.19E-07
7,-0.662802891,7.98E-08
7,-0.652894917,5.46E-08
7,-0.643717068,3.34E-08
7,-0.635827318,2.46E-08
7,-0.626543967,1.46E-08
7,-0.617421628,1.00E-08
7,-0.609949899,7.16E-09
7,-0.601374456,4.40E-09
7,-0.592407735,2.86E-09
7,-0.583521305,1.98E-09
7,-0.573975137,1.14E-09
7,-0.565166764,7.73E-10
7,-0.556171047,4.53E-10
7,-0.548279417,3.12E-10
7,-0.54002271,2.27E-10
7,-0.530658618,1.24E-10
7,-0.521850244,8.45E-11
7,-0.513593768,6.20E-11
7,-0.504229445,3.37E-11
