Index,Voltage,Concentration
5,0.123977836,0.029643514
5,0.106279717,0.031236664
5,0.09111121,0.031283975
5,0.07810759,0.031331357
5,0.06695988,0.031378811
5,0.057403198,0.031426338
5,0.04921047,0.031473936
5,0.042187029,0.031521606
5,0.036165991,0.031569349
5,0.03100429,0.031617164
5,0.026579281,0.031665051
5,0.022785819,0.031713011
5,0.01953377,0.031761043
5,0.016745862,0.031809148
5,0.01435585,0.031857326
5,0.012306948,0.031905577
5,0.010550469,0.031953901
5,0.00904468,0.032002299
5,0.007753801,0.032050769
5,0.006647159,0.032099313
5,0.00569846,0.032147931
5,0.004885161,0.032196622
5,0.004187939,0.032245387
5,0.003590226,0.032294225
5,0.00307782,0.032343138
5,0.002638546,0.032392125
5,0.002261966,0.032441186
5,0.001939132,0.032490321
5,0.001662375,0.032539531
5,0.001425116,0.032588815
5,0.00122172,0.032638174
5,0.001047353,0.032687608
5,0.000897872,0.032737116
5,0.000769726,0.0327867
5,0.000659869,0.032836358
5,0.00056569,0.032886092
5,0.000484954,0.032935901
5,0.00041574,0.032985786
5,0.000356404,0.033035746
5,0.000305538,0.033085782
5,0.00026193,0.033135894
5,0.000224547,0.033186081
5,0.000192499,0.033236345
5,0.000165025,0.033286684
5,0.000141469,0.034681618
5,0.000121275,0.036135008
5,0.000111059,0.036166272
6,10.44449123,7.68E-10
6,8.953827339,7.69E-10
6,7.675914725,7.70E-10
6,6.580388992,7.71E-10
6,5.64121943,7.73E-10
6,4.836090495,7.74E-10
6,4.145871574,7.75E-10
6,3.553997761,8.31E-10
6,3.046738793,8.41E-10
6,2.611840114,8.72E-10
6,2.239002609,9.13E-10
6,1.919342815,9.90E-10
6,1.645339554,1.05E-09
6,1.410398225,1.19E-09
6,1.208967296,1.40E-09
6,0.98532936,1.67E-09
6,0.79561425,2.62E-09
6,0.681830502,4.32E-09
6,0.584317134,7.15E-09
6,0.506269034,1.25E-08
6,0.443498905,2.18E-08
6,0.384261097,3.80E-08
6,0.329239113,8.44E-08
